time,node0,node1
5656,0.050636,0.053007
5657,0.050424,0.053223
5658,0.049955,0.053253
5659,0.050642,0.053201
5660,0.050714,0.052902
5661,0.050793,0.053779
5662,0.050599,0.052998
5663,0.050179,0.053303
5664,0.050373,0.053198
5665,0.0505,0.053049
5666,0.049521,0.053045
5667,0.050176,0.053451
5668,0.049682,0.053518
5669,0.050307,0.05275
5670,0.049928,0.053811
5671,0.050351,0.05216
5672,0.050281,0.052229
5673,0.050393,0.052825
5674,0.050124,0.053626
5675,0.050158,0.052104
5676,0.050919,0.052729
5677,0.050647,0.052402
5678,0.050478,0.053211
5679,0.050792,0.05284
5680,0.053845,0.053718
5681,0.051251,0.052546
5682,0.051211,0.052488
5683,0.051433,0.052229
5684,0.050683,0.052332
5685,0.050994,0.052494
5686,0.05151,0.052771
5687,0.050981,0.052887
5688,0.051521,0.053404
5689,0.051056,0.052923
5690,0.051358,0.053099
5691,0.051228,0.05322
5692,0.051085,0.053254
5693,0.051057,0.053005
5694,0.051685,0.053061
5695,0.051404,0.053084
5696,0.051243,0.052769
5697,0.051608,0.053099
5698,0.051254,0.05264
5699,0.051302,0.052674
5700,0.051678,0.052462
5701,0.051769,0.052924
5702,0.052036,0.052963
5703,0.050865,0.052123
5704,0.051495,0.05185
5705,0.051701,0.052201
5706,0.053191,0.055077
5707,0.051859,0.053773
5708,0.052143,0.052075
5709,0.051697,0.052738
5710,0.05295,0.053843
5711,0.045441,0.059563
5712,0.045154,0.059621
5713,0.044926,0.058803
5714,0.044386,0.060312
5715,0.045139,0.059716
5716,0.044929,0.059333
5717,0.044786,0.058919
5718,0.044871,0.059387
5719,0.045015,0.059947
5720,0.045087,0.059629
5721,0.044557,0.0594
5722,0.044655,0.05935
5723,0.044559,0.059779
5724,0.045022,0.059344
5725,0.044485,0.059126
5726,0.044615,0.059061
5727,0.04435,0.058616
5728,0.044563,0.059192
5729,0.044341,0.058957
5730,0.044648,0.058888
5731,0.04498,0.059032
5732,0.045187,0.058952
5733,0.04495,0.058754
5734,0.044815,0.059211
5735,0.045271,0.059262
5736,0.0447,0.058793
5737,0.044577,0.058899
5738,0.044632,0.059934
5739,0.044709,0.059507
5740,0.044795,0.059774
5741,0.044701,0.059583
5742,0.044697,0.058984
5743,0.04482,0.059608
5744,0.044671,0.059656
5745,0.044916,0.059557
5746,0.044749,0.059807
5747,0.044494,0.05931
5748,0.04474,0.059686
5749,0.044696,0.058407
5750,0.044851,0.059583
5751,0.044446,0.059292
5752,0.044654,0.059169
5753,0.044682,0.058862
5754,0.044977,0.059665
5755,0.044509,0.059012
5756,0.044707,0.059374
5757,0.04583,0.060876
5758,0.044149,0.059181
5759,0.044683,0.059477
5760,0.044586,0.058992
5761,0.044362,0.059245
5762,0.045019,0.060439
5763,0.043912,0.060033
5764,0.044126,0.059566
5765,0.043839,0.060792
5766,0.04444,0.059737
